
Host                                            Status       Expires      Days
egtc.desire2learn.com:443                       Valid        Jul 23 2013  267                                
class.daytonastate.edu:443                      Valid        Sep 30 2015  1066                               
adsb.elearningontario.ca:443                    Valid        Oct 10 2013  346                                
alcdsb.elearningontario.ca:443                  Valid        Oct 10 2013  346                                
amdsb.elearningontario.ca:443                   Valid        Oct 10 2013  346                                
bgcdsb.elearningontario.ca:443                  Valid        Oct 10 2013  346                                
BHNCDSB.elearningontario.ca:443                 Valid        Oct 10 2013  346                                
bwdsb.elearningontario.ca:443                   Valid        Oct 10 2013  346                                
cdsbeo.elearningontario.ca:443                  Valid        Oct 10 2013  346                                
cpdsab.elearningontario.ca:443                  Valid        Oct 10 2013  346                                
dsbn.elearningontario.ca:443                    Valid        Oct 10 2013  346                                
dsbne.elearningontario.ca:443                   Valid        Oct 10 2013  346                                
dpcdsb.elearningontario.ca:443                  Valid        Oct 10 2013  346                                
durham.elearningontario.ca:443                  Valid        Oct 10 2013  346                                
durhamrc.elearningontario.ca:443                Valid        Oct 10 2013  346                                
courses.elearningontario.ca:443                 Valid        Oct 10 2013  346                                
trainingsite.elearningontario.ca:443            Valid        Oct 10 2013  346                                
GECDSB.elearningontario.ca:443                  Valid        Oct 10 2013  346                                
GEDSB.elearningontario.ca:443                   Valid        Oct 10 2013  346                                
hcdsb.elearningontario.ca:443                   Valid        Oct 10 2013  346                                
HDSB.elearningontario.ca:443                    Valid        Oct 10 2013  346                                
HPCDSB.elearningontario.ca:443                  Valid        Oct 10 2013  346                                
YRDSB.elearningontario.ca:443                   Valid        Oct 10 2013  346                                
gadoe.desire2learn.com:443                      Valid        Jul 23 2013  267                                
georgiasouthern.desire2learn.com:443            Valid        Jul 23 2013  267                                
ehacc.hacc.edu:443                              Valid        Jul 26 2013  270                                
otc.desire2learn.com:443                        Valid        Jul 23 2013  267                                
learningspace.ial.edu.sg:443                    Valid        Apr 6 2013   159                                
tvdsb-wlu.desire2learn.com:443                  Valid        Jul 23 2013  267                                
d2l.langara.bc.ca:443                           Valid        Nov 21 2016  1484                               
D2L.lcc.edu:443                                 Valid        Jul 10 2014  619                                
d2l.macu.edu:443                                Valid        Nov 11 2014  743                                
my.marymountpv.edu:443                          Valid        Aug 20 2014  660                                
njvs.desire2learn.com:443                       Valid        Jul 23 2013  267                                
NMHU.desire2learn.com:443                       Valid        Jul 23 2013  267                                
learn.noodle.org:443                            Valid        Sep 28 2013  334                                
oaklandcc.desire2learn.com:443                  Valid        Jul 23 2013  267                                
d2l.oru.edu:443                                 Valid        Feb 16 2015  840                                
oupprod.desire2learn.com:443                    Valid        Jul 23 2013  267                                
