
Host                                            Status       Expires      Days
onlinelearning.nycc.edu:443                     Valid        Jun 12 2015  931                                
online.casb.com:443                             Valid        Jul 23 2013  242                                
d2l.coloradomesa.edu:443                        Valid        Sep 6 2014   652                                
dominicancollege.desire2learn.com:443           Valid        Jul 23 2013  242                                
virtual.fctc.edu:443                            Valid        Nov 10 2013  352                                
hsfc.desire2learn.com:443                       Valid        Jul 23 2013  242                                
Teachers21.desire2learn.com:443                 Valid        Jul 23 2013  242                                
umanitoba.desire2learn.com:443                  Valid        Jul 23 2013  242                                
d2l.yorktech.edu:443                            Valid        Dec 9 2013   381                                
ECACS.Desire2Learn.com:443                      Valid        Jul 23 2013  242                                
elearning.my.pacifica.edu:443                   Valid        Feb 15 2016  1179                               
stkate.desire2learn.com:443                     Valid        Jul 23 2013  242                                
tekura.desire2learn.com:443                     Valid        Jul 23 2013  242                                
adlc.desire2learn.com:443                       Valid        Oct 29 2016  1436                               
d20online.desire2learn.com:443                  Valid        Jul 23 2013  242                                
bconline.broward.edu:443                        Valid        Oct 25 2013  336                                
charisbiblecollege.desire2learn.com:443         Valid        Jul 23 2013  242                                
desales.desire2learn.com:443                    Valid        Jul 23 2013  242                                
durhamcollege.desire2learn.com:443              Valid        Jul 23 2013  242                                
t-vols.org:443                                  Valid        Jan 16 2013  54                                 
egtc.desire2learn.com:443                       Valid        Jul 23 2013  242                                
class.daytonastate.edu:443                      Valid        Sep 30 2015  1041                               
adsb.elearningontario.ca:443                    Valid        Oct 10 2013  321                                
alcdsb.elearningontario.ca:443                  Valid        Oct 10 2013  321                                
amdsb.elearningontario.ca:443                   Valid        Oct 10 2013  321                                
bgcdsb.elearningontario.ca:443                  Valid        Oct 10 2013  321                                
BHNCDSB.elearningontario.ca:443                 Valid        Oct 10 2013  321                                
bwdsb.elearningontario.ca:443                   Valid        Oct 10 2013  321                                
cdsbeo.elearningontario.ca:443                  Valid        Oct 10 2013  321                                
cpdsab.elearningontario.ca:443                  Valid        Oct 10 2013  321                                
dsbn.elearningontario.ca:443                    Valid        Oct 10 2013  321                                
dsbne.elearningontario.ca:443                   Valid        Oct 10 2013  321                                
dpcdsb.elearningontario.ca:443                  Valid        Oct 10 2013  321                                
durham.elearningontario.ca:443                  Valid        Oct 10 2013  321                                
